"country"	"country_code"	"age"	"2020"	"2025"	"2030"	"2035"	"2040"	"2045"	"2050"	"2055"	"2060"	"2065"	"2070"	"2075"	"2080"	"2085"	"2090"	"2095"	"2100"
"Ethiopia"	231	"60-64"	945.081	1090.666	1396.703	1816.256	2155.304	2760.215	3332.816	4275.611	5248.046	5842.629	6138.091	6528.898	7010.17	7376.375	7661.784	7781.715	7734.247
"Ethiopia"	231	"65-69"	738.666	856.237	1003.432	1304.891	1721.637	2056.484	2647.249	3205.311	4136.709	5099.368	5708.065	6010.674	6401.783	6879.785	7264.821	7510.835	7629.2
"Ethiopia"	231	"70-74"	546.166	632.735	750.169	901.845	1193.525	1600.437	1931.202	2505.219	3056.445	3988.483	4918.377	5489.661	5809.796	6201.065	6702.995	7036.234	7251.921
"Ethiopia"	231	"75-79"	346.881	425.265	510.499	627.64	777.29	1058.4	1446.142	1771.59	2325.02	2853.028	3742.835	4642.956	5222.704	5529.19	5932.051	6399.323	6753.873
"Ethiopia"	231	"80-84"	173.798	230.257	296.882	376.354	485.482	629.425	888.638	1249.377	1552.159	2070.87	2565.253	3404.89	4243.404	4793.007	5150.027	5511.074	6004.65
"Ethiopia"	231	"85-89"	70.643	89.368	127.423	176.916	241.987	337.541	462.223	679.348	984.001	1255.782	1707.18	2150.141	2897.857	3672.523	4164.634	4504.714	4917.093
"Ethiopia"	231	"90-94"	17.307	24.667	34.58	54.374	84.008	128.565	193.839	282.693	437.203	654.024	872.331	1202.226	1555.339	2133.702	2775.754	3263.273	3613.822
"Ethiopia"	231	"95-99"	1.966	3.443	5.556	8.809	16.074	28.901	49.87	80.752	125.587	206.01	324.06	442.746	638.422	868.793	1233.105	1618.851	1926.312
"Ethiopia"	231	"100+"	0.15	0.211	0.415	0.772	1.456	3.109	6.522	12.373	22.151	37.887	65.724	107.712	157.728	245.159	350.3	513.821	712.569
"Kenya"	404	"0-4"	3787.883	3972.033	4180.961	4389.491	4559.019	4672.947	4755.348	4780.766	4787.217	4824.94	4800.204	4713.462	4598.809	4496.556	4373.851	4174.323	4075.066
